Symptom,KNN,LR-ElasticNet,LR-LASSO,LR-Ridge,Random Forest
physSx_1,0.55,0.61,0.61,0.61,0.6
physSx_10,0.54,0.56,0.56,0.56,0.54
physSx_11,0.55,0.58,0.58,0.58,0.58
physSx_12,0.57,0.68,0.68,0.68,0.55
physSx_13,0.58,0.64,0.64,0.64,0.59
physSx_2,0.57,0.59,0.59,0.59,0.59
physSx_3,0.55,0.57,0.57,0.57,0.56
physSx_4,0.51,0.58,0.58,0.58,0.51
physSx_5,0.55,0.63,0.63,0.63,0.56
physSx_6,0.56,0.62,0.62,0.62,0.57
physSx_7,0.52,0.6,0.6,0.59,0.51
physSx_8,0.58,0.63,0.63,0.63,0.64
physSx_9,0.55,0.63,0.63,0.63,0.58
