Symptom,Model,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,AUC
physSx_1,LR-ElasticNet,0.62,0.61,0.61,0.62,0.65
physSx_10,LR-ElasticNet,0.57,0.56,0.56,0.58,0.57
physSx_11,LR-ElasticNet,0.58,0.58,0.58,0.58,0.63
physSx_12,LR-ElasticNet,0.68,0.68,0.57,0.73,0.75
physSx_13,LR-ElasticNet,0.63,0.64,0.62,0.65,0.7
physSx_2,LR-ElasticNet,0.59,0.59,0.59,0.59,0.64
physSx_3,LR-ElasticNet,0.57,0.57,0.57,0.57,0.6
physSx_4,LR-ElasticNet,0.56,0.58,0.55,0.58,0.61
physSx_5,LR-ElasticNet,0.64,0.63,0.58,0.67,0.68
physSx_6,LR-ElasticNet,0.63,0.62,0.61,0.64,0.68
physSx_7,LR-ElasticNet,0.66,0.6,0.48,0.74,0.62
physSx_8,Random Forest,0.65,0.64,0.64,0.64,0.69
physSx_9,LR-ElasticNet,0.64,0.63,0.62,0.65,0.68
