Symptom,Model,Accuracy,Balanced_Accuracy,F1_Score,Precision,Recall,ROC_AUC,Symptom_Name
physSx_12,RandomForest,,0.547,0.93,,,0.781,Fatigue
physSx_6,ExtraTrees,,0.637,0.5,,,0.703,Dizziness
physSx_13,LR-L1,0.629,0.626,0.698,0.777,0.634,0.694,Trouble sleeping
physSx_9,ExtraTrees,,0.617,0.479,,,0.689,Shortness of breath
physSx_4,ExtraTrees,,0.631,0.769,,,0.687,Headache
physSx_7,LR-L1,0.658,0.627,0.195,0.117,0.591,0.661,Fainting spells
physSx_8,ExtraTrees,,0.622,0.602,,,0.657,Heart pound/race
physSx_5,LR-L1,0.618,0.601,0.398,0.305,0.572,0.651,Chest pain
physSx_11,LR-L1,0.606,0.606,0.597,0.597,0.597,0.649,Nausea/gas/indigestion
physSx_1,TabNet-Deep,,0.605,0.577,,,0.643,Stomach pain
physSx_3,RandomForest,,0.578,0.621,,,0.626,Limb/joint pain
physSx_10,ExtraTrees,,0.566,0.43,,,0.613,Constipation
physSx_2,CatBoost,,0.578,0.646,,,0.612,Back pain
