Symptom_Code,Symptom_Name,Model,ROC_AUC,F1_Score,Predictor,Mean_Abs_SHAP
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,stress_amplification,0.3065969321564434
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,achievement_stress_interaction,0.31496557969593325
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Income,0.32709907894164736
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,low_efficacy_high_stress,0.33789799905263174
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Sex,0.3419425757794689
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Efficacy/Competence,0.34843112392202
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,achievement_gap,0.44462508582237253
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Social Media - Maintaining Connections,0.45004804709618995
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Perceived Stress,0.4600833300851575
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Identity Exploration (IDEA-8),0.5818843567219854
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Need to Belong,0.6400601355990112
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Social Media - Making New Connections,0.6400914991789359
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Interpersonal Transgressions,0.6611819585992835
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Mindfulness,0.9471282941391534
physSx_1,Stomach pain,TabNet-Deep,0.643,0.577,Subjective Well-Being,1.2145592281542956
physSx_2,Back pain,CatBoost,0.612,0.646,Need to Belong,0.057894540658955496
physSx_2,Back pain,CatBoost,0.612,0.646,Social Media - Information Seeking,0.05862533774042303
physSx_2,Back pain,CatBoost,0.612,0.646,Interpersonal Exploitativeness,0.07108828663227522
physSx_2,Back pain,CatBoost,0.612,0.646,Social Media - Making New Connections,0.07632960590455963
physSx_2,Back pain,CatBoost,0.612,0.646,somatization_proneness,0.07877024346347763
physSx_2,Back pain,CatBoost,0.612,0.646,American Dream,0.08038322309245098
physSx_2,Back pain,CatBoost,0.612,0.646,Markers of Adulthood - Achievement,0.09060559814757808
physSx_2,Back pain,CatBoost,0.612,0.646,Mindfulness,0.12606911426301873
physSx_2,Back pain,CatBoost,0.612,0.646,Perceived Social Support,0.12874876573994345
physSx_2,Back pain,CatBoost,0.612,0.646,Disability Identity & Status,0.13797145581611764
physSx_2,Back pain,CatBoost,0.612,0.646,Income,0.14124917119738317
physSx_2,Back pain,CatBoost,0.612,0.646,Perceived Stress,0.14673828126063182
physSx_2,Back pain,CatBoost,0.612,0.646,Sex,0.16115364214102978
physSx_2,Back pain,CatBoost,0.612,0.646,Subjective Well-Being,0.16562962587097294
physSx_2,Back pain,CatBoost,0.612,0.646,Interpersonal Transgressions,0.1718624889329744
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,somatization_proneness,0.006719216857067424
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Sex,0.006825846830446668
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Social Media - Maintaining Connections,0.007183027409585069
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,emotional_awareness_deficit,0.0072745044006876
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,stress_amplification,0.007617329360331958
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Markers of Adulthood - Importance,0.00762320733788069
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Need to Belong,0.007685640180355073
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Disability Identity & Status,0.008487158935305147
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,overall_std,0.008599529229191157
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Efficacy/Competence,0.009788465309158823
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Perceived Social Support,0.01193665541114718
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Perceived Stress,0.013354497357597445
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Interpersonal Transgressions,0.019996797934361706
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Mindfulness,0.026294494199465578
physSx_3,Limb/joint pain,RandomForest,0.626,0.621,Subjective Well-Being,0.027484811299020716
physSx_4,Headache,ExtraTrees,0.687,0.769,Social Media - Maintaining Connections,0.17471784935804113
physSx_4,Headache,ExtraTrees,0.687,0.769,Income,0.18114921634862755
physSx_4,Headache,ExtraTrees,0.687,0.769,Mindfulness,0.20181651936962958
physSx_4,Headache,ExtraTrees,0.687,0.769,Markers of Adulthood - Achievement,0.2111531537576688
physSx_4,Headache,ExtraTrees,0.687,0.769,achievement_stress_interaction,0.21431618750976308
physSx_4,Headache,ExtraTrees,0.687,0.769,Interpersonal Exploitativeness,0.2580181170845801
physSx_4,Headache,ExtraTrees,0.687,0.769,stress_amplification,0.32289520508280695
physSx_4,Headache,ExtraTrees,0.687,0.769,Sex,0.3333226454953324
physSx_4,Headache,ExtraTrees,0.687,0.769,Perceived Social Support,0.5135296827298729
physSx_4,Headache,ExtraTrees,0.687,0.769,Need to Belong,0.557628894425223
physSx_4,Headache,ExtraTrees,0.687,0.769,Perceived Stress,0.5736731111812431
physSx_4,Headache,ExtraTrees,0.687,0.769,stress_support_interaction,0.6742189216205111
physSx_4,Headache,ExtraTrees,0.687,0.769,Subjective Well-Being,0.7304218276489405
physSx_4,Headache,ExtraTrees,0.687,0.769,Social Media - Making New Connections,0.747814381443492
physSx_4,Headache,ExtraTrees,0.687,0.769,Interpersonal Transgressions,0.8878031837299009
physSx_5,Chest pain,LR-L1,0.651,0.398,perfectionism_stress,0.3296669532594693
physSx_5,Chest pain,LR-L1,0.651,0.398,achievement_gap_squared,0.3813537527429454
physSx_5,Chest pain,LR-L1,0.651,0.398,achievement_gap,0.3993039747489498
physSx_5,Chest pain,LR-L1,0.651,0.398,stress_support_interaction,0.4367711477736123
physSx_5,Chest pain,LR-L1,0.651,0.398,achievement_stress_interaction,0.44598740795546166
physSx_5,Chest pain,LR-L1,0.651,0.398,low_efficacy_high_stress,0.4639358256664281
physSx_5,Chest pain,LR-L1,0.651,0.398,Subjective Well-Being,0.5397131443110101
physSx_5,Chest pain,LR-L1,0.651,0.398,Disability Identity & Status,0.5521581471675098
physSx_5,Chest pain,LR-L1,0.651,0.398,Efficacy/Competence,0.6136543137805266
physSx_5,Chest pain,LR-L1,0.651,0.398,Perceived Social Support,0.6608437511456142
physSx_5,Chest pain,LR-L1,0.651,0.398,Interpersonal Transgressions,0.8197310157912847
