symptom,model,auc,accuracy,balanced_accuracy,macro_f1,weighted_f1
physSx_12,Logistic Regression,0.7456262626262626,0.6783068783068783,0.6768939393939395,0.5670781694555626,0.7307863943828645
physSx_8,Logistic Regression,0.6997250038445186,0.6328042328042328,0.6307905234877473,0.6302854417599366,0.6332886156973666
physSx_13,Logistic Regression,0.6967879098360655,0.6328042328042328,0.6362320696721311,0.6148560797454572,0.644329762464525
physSx_9,Logistic Regression,0.6803995901639345,0.6391534391534391,0.6314805327868852,0.6160097521332791,0.6494284381322172
physSx_6,Logistic Regression,0.6800066268366174,0.6328042328042328,0.6227362622570591,0.6070337619133788,0.6439856354634876
physSx_5,Logistic Regression,0.6793262066731455,0.6338624338624339,0.6319727891156462,0.5812371926229508,0.6637095856102003
physSx_1,Logistic Regression,0.6470521991387231,0.6148148148148148,0.611029027550046,0.6112095702259637,0.6140224533667156
physSx_2,Logistic Regression,0.637655328798186,0.5851851851851851,0.5921428571428571,0.5851810045956624,0.5853273252289619
physSx_11,Logistic Regression,0.6306857393813916,0.5830687830687831,0.582815734989648,0.5828216597049174,0.583047294080621
physSx_7,Logistic Regression,0.620439941522456,0.6582010582010582,0.588583279502261,0.47921802941091163,0.7412310914123718
physSx_4,Logistic Regression,0.610917260896467,0.5650793650793651,0.5841312749145425,0.5558809370529736,0.5777272036156533
physSx_3,Logistic Regression,0.6012212727419457,0.5724867724867725,0.5737740197089389,0.5722333769563113,0.5719138782439906
physSx_10,Logistic Regression,0.5653889183300949,0.5724867724867725,0.5617823706059,0.5542785893077297,0.5808758830614101
