Symptom,Model,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,AUC
physSx_1,LR-ElasticNet,0.62,0.61,0.62,0.61,0.61,0.62,0.65
physSx_1,LR-LASSO,0.62,0.61,0.61,0.61,0.61,0.62,0.65
physSx_1,LR-Ridge,0.61,0.61,0.61,0.61,0.61,0.61,0.65
physSx_1,KNN,0.54,0.55,0.55,0.55,0.54,0.54,0.56
physSx_1,Random Forest,0.61,0.6,0.6,0.6,0.6,0.6,0.62
physSx_2,LR-ElasticNet,0.59,0.59,0.59,0.59,0.59,0.59,0.64
physSx_2,LR-LASSO,0.59,0.59,0.59,0.59,0.59,0.59,0.64
physSx_2,LR-Ridge,0.59,0.59,0.59,0.59,0.59,0.59,0.64
physSx_2,KNN,0.56,0.57,0.57,0.57,0.56,0.56,0.57
physSx_2,Random Forest,0.59,0.59,0.59,0.59,0.59,0.59,0.61
physSx_3,LR-ElasticNet,0.57,0.57,0.57,0.57,0.57,0.57,0.6
physSx_3,LR-LASSO,0.57,0.57,0.57,0.57,0.57,0.57,0.6
physSx_3,LR-Ridge,0.57,0.57,0.57,0.57,0.57,0.57,0.6
physSx_3,KNN,0.55,0.55,0.55,0.55,0.55,0.55,0.56
physSx_3,Random Forest,0.57,0.56,0.56,0.56,0.56,0.56,0.59
physSx_4,LR-ElasticNet,0.56,0.58,0.57,0.58,0.55,0.58,0.61
physSx_4,LR-LASSO,0.56,0.58,0.57,0.58,0.55,0.57,0.61
physSx_4,LR-Ridge,0.57,0.58,0.57,0.58,0.56,0.58,0.61
physSx_4,KNN,0.49,0.51,0.51,0.51,0.49,0.51,0.54
physSx_4,Random Forest,0.62,0.51,0.52,0.51,0.5,0.58,0.57
physSx_5,LR-ElasticNet,0.64,0.63,0.6,0.63,0.58,0.67,0.68
physSx_5,LR-LASSO,0.64,0.63,0.6,0.63,0.58,0.67,0.68
physSx_5,LR-Ridge,0.63,0.63,0.59,0.63,0.58,0.66,0.68
physSx_5,KNN,0.52,0.55,0.53,0.55,0.49,0.56,0.57
physSx_5,Random Forest,0.75,0.56,0.6,0.56,0.57,0.72,0.66
physSx_6,LR-ElasticNet,0.63,0.62,0.61,0.62,0.61,0.64,0.68
physSx_6,LR-LASSO,0.63,0.62,0.61,0.62,0.61,0.64,0.68
physSx_6,LR-Ridge,0.63,0.62,0.61,0.62,0.61,0.64,0.68
physSx_6,KNN,0.53,0.56,0.55,0.56,0.52,0.55,0.59
physSx_6,Random Forest,0.68,0.57,0.6,0.57,0.58,0.65,0.66
physSx_7,LR-ElasticNet,0.66,0.6,0.53,0.6,0.48,0.74,0.62
physSx_7,LR-LASSO,0.66,0.6,0.53,0.6,0.48,0.74,0.62
physSx_7,LR-Ridge,0.66,0.59,0.53,0.59,0.48,0.74,0.62
physSx_7,KNN,0.66,0.52,0.51,0.52,0.46,0.74,0.53
physSx_7,Random Forest,0.92,0.51,0.55,0.51,0.5,0.89,0.59
physSx_8,LR-ElasticNet,0.63,0.63,0.63,0.63,0.63,0.63,0.7
physSx_8,LR-LASSO,0.63,0.63,0.63,0.63,0.63,0.63,0.7
physSx_8,LR-Ridge,0.63,0.63,0.63,0.63,0.63,0.63,0.7
physSx_8,KNN,0.58,0.58,0.58,0.58,0.58,0.58,0.62
physSx_8,Random Forest,0.65,0.64,0.64,0.64,0.64,0.64,0.69
physSx_9,LR-ElasticNet,0.64,0.63,0.62,0.63,0.62,0.65,0.68
physSx_9,LR-LASSO,0.64,0.63,0.62,0.63,0.62,0.65,0.68
physSx_9,LR-Ridge,0.64,0.63,0.62,0.63,0.62,0.65,0.68
physSx_9,KNN,0.55,0.55,0.55,0.55,0.53,0.56,0.57
physSx_9,Random Forest,0.67,0.58,0.6,0.58,0.58,0.65,0.65
physSx_10,LR-ElasticNet,0.57,0.56,0.56,0.56,0.56,0.58,0.57
physSx_10,LR-LASSO,0.57,0.56,0.56,0.56,0.55,0.58,0.57
physSx_10,LR-Ridge,0.57,0.56,0.56,0.56,0.55,0.58,0.57
physSx_10,KNN,0.52,0.54,0.53,0.54,0.51,0.53,0.54
physSx_10,Random Forest,0.62,0.54,0.56,0.54,0.54,0.6,0.57
physSx_11,LR-ElasticNet,0.58,0.58,0.58,0.58,0.58,0.58,0.63
physSx_11,LR-LASSO,0.59,0.58,0.58,0.58,0.58,0.59,0.63
physSx_11,LR-Ridge,0.58,0.58,0.58,0.58,0.58,0.58,0.63
physSx_11,KNN,0.54,0.55,0.55,0.55,0.54,0.54,0.56
physSx_11,Random Forest,0.58,0.58,0.58,0.58,0.58,0.58,0.62
physSx_12,LR-ElasticNet,0.68,0.68,0.58,0.68,0.57,0.73,0.75
physSx_12,LR-LASSO,0.68,0.68,0.58,0.68,0.57,0.73,0.75
physSx_12,LR-Ridge,0.68,0.68,0.58,0.68,0.57,0.73,0.75
physSx_12,KNN,0.59,0.57,0.53,0.57,0.48,0.66,0.62
physSx_12,Random Forest,0.87,0.55,0.68,0.55,0.56,0.84,0.71
physSx_13,LR-ElasticNet,0.63,0.64,0.62,0.64,0.62,0.65,0.7
physSx_13,LR-LASSO,0.63,0.64,0.62,0.64,0.62,0.65,0.7
physSx_13,LR-Ridge,0.63,0.64,0.62,0.64,0.61,0.64,0.7
physSx_13,KNN,0.55,0.58,0.57,0.58,0.55,0.57,0.61
physSx_13,Random Forest,0.69,0.59,0.63,0.59,0.6,0.67,0.67
