feature,mean_abs_shap,model,outcome
sibling_c,0.0021746917333021975,Random Forest,physSx_1
idea_m,0.008657892576510087,Random Forest,physSx_1
moa_achievement_m,0.01120480395166771,Random Forest,physSx_1
moa_importance_m,0.007928862915101288,Random Forest,physSx_1
stress_m,0.021478211912137266,Random Forest,physSx_1
support_m,0.00906491534132387,Random Forest,physSx_1
belong_m,0.014027236892412963,Random Forest,physSx_1
mindful_m,0.02169112556656969,Random Forest,physSx_1
efficacy_m,0.009807271193112857,Random Forest,physSx_1
npi_m,0.006149588103556508,Random Forest,physSx_1
exploit_m,0.008582809779713969,Random Forest,physSx_1
disability_m,0.01030982560047846,Random Forest,physSx_1
social_conn_m,0.007812600184414134,Random Forest,physSx_1
social_new_m,0.01097485307776353,Random Forest,physSx_1
social_info_m,0.0072980096183447845,Random Forest,physSx_1
swb_m,0.03856889103318344,Random Forest,physSx_1
transgres_m,0.023727385549401875,Random Forest,physSx_1
usdream_m,0.015826630049920923,Random Forest,physSx_1
parental_marriage_1.0,0.002978339258485128,Random Forest,physSx_1
parental_marriage_2.0,0.0019511905039644375,Random Forest,physSx_1
parental_marriage_3.0,0.00010885272509883528,Random Forest,physSx_1
parental_marriage_4.0,0.0014243515652432287,Random Forest,physSx_1
sibling_c,0.002707712182850599,Random Forest,physSx_2
idea_m,0.006136570777976305,Random Forest,physSx_2
moa_achievement_m,0.014257453559459286,Random Forest,physSx_2
moa_importance_m,0.00928726850023075,Random Forest,physSx_2
stress_m,0.03423985241508841,Random Forest,physSx_2
support_m,0.00962755579844696,Random Forest,physSx_2
belong_m,0.007960137496178136,Random Forest,physSx_2
mindful_m,0.018887722585514286,Random Forest,physSx_2
efficacy_m,0.008248270036326872,Random Forest,physSx_2
npi_m,0.005765524420127726,Random Forest,physSx_2
exploit_m,0.007757420169405133,Random Forest,physSx_2
disability_m,0.014415502090174748,Random Forest,physSx_2
social_conn_m,0.00707336404478948,Random Forest,physSx_2
social_new_m,0.011456688393776452,Random Forest,physSx_2
social_info_m,0.007261994781294011,Random Forest,physSx_2
swb_m,0.02825514928117164,Random Forest,physSx_2
transgres_m,0.03120352047273995,Random Forest,physSx_2
usdream_m,0.01756294887869664,Random Forest,physSx_2
parental_marriage_1.0,0.007094301055118458,Random Forest,physSx_2
parental_marriage_2.0,0.003529625039765646,Random Forest,physSx_2
